attributeName	attributeDefinition	class	unit	dateTimeFormatString	missingValueCode	missingValueCodeExplanation
u_rot		numeric	!Add units here!			
v_rot		numeric	!Add units here!			
w_rot		numeric	!Add units here!			
wind_speed		numeric	!Add units here!			
max_wind_speed		numeric	!Add units here!			
wind_dir		numeric	!Add units here!			
yaw		numeric	!Add units here!			
pitch		numeric	!Add units here!			
roll		numeric	!Add units here!			
u*		numeric	!Add units here!			
TKE		numeric	!Add units here!			
L		numeric	!Add units here!			
(z-d)/L		numeric	!Add units here!			
bowen_ratio		numeric	!Add units here!			
T*		numeric	!Add units here!			
model		numeric	!Add units here!			
x_peak		numeric	!Add units here!			
x_offset		numeric	!Add units here!			
x_10%		numeric	!Add units here!			
x_30%		numeric	!Add units here!			
x_50%		numeric	!Add units here!			
x_70%		numeric	!Add units here!			
x_90%		numeric	!Add units here!			
un_Tau		numeric	!Add units here!			
Tau_scf		numeric	!Add units here!			
un_H		numeric	!Add units here!			
H_scf		numeric	!Add units here!			
un_LE		numeric	!Add units here!			
LE_scf		numeric	!Add units here!			
un_co2_flux		numeric	!Add units here!			
co2_scf		numeric	!Add units here!			
un_h2o_flux		numeric	!Add units here!			
h2o_scf		numeric	!Add units here!			
un_ch4_flux		numeric	!Add units here!			
ch4_scf		numeric	!Add units here!			
spikes_hf		numeric	!Add units here!			
amplitude_resolution_hf		numeric	!Add units here!			
drop_out_hf		numeric	!Add units here!			
absolute_limits_hf		numeric	!Add units here!			
skewness_kurtosis_hf		numeric	!Add units here!			
skewness_kurtosis_sf		numeric	!Add units here!			
discontinuities_hf		numeric	!Add units here!			
discontinuities_sf		numeric	!Add units here!			
timelag_hf		Date		!Add datetime specifier here!		
timelag_sf		Date		!Add datetime specifier here!		
attack_angle_hf		numeric	!Add units here!			
non_steady_wind_hf		numeric	!Add units here!			
u_spikes		numeric	!Add units here!			
v_spikes		numeric	!Add units here!			
w_spikes		numeric	!Add units here!			
ts_spikes		numeric	!Add units here!			
co2_spikes		numeric	!Add units here!			
h2o_spikes		numeric	!Add units here!			
ch4_spikes		numeric	!Add units here!			
head_detect_LI-7200		numeric	!Add units here!			
t_out_LI-7200		numeric	!Add units here!			
t_in_LI-7200		numeric	!Add units here!			
aux_in_LI-7200		numeric	!Add units here!			
delta_p_LI-7200		numeric	!Add units here!			
chopper_LI-7200		numeric	!Add units here!			
detector_LI-7200		numeric	!Add units here!			
pll_LI-7200		numeric	!Add units here!			
sync_LI-7200		numeric	!Add units here!			
not_ready_LI-7700		numeric	!Add units here!			
no_signal_LI-7700		numeric	!Add units here!			
re_unlocked_LI-7700		numeric	!Add units here!			
bad_temp_LI-7700		numeric	!Add units here!			
laser_temp_unregulated_LI-7700		numeric	!Add units here!			
block_temp_unregulated_LI-7700		numeric	!Add units here!			
motor_spinning_LI-7700		numeric	!Add units here!			
pump_on_LI-7700		numeric	!Add units here!			
top_heater_on_LI-7700		numeric	!Add units here!			
bottom_heater_on_LI-7700		numeric	!Add units here!			
calibrating_LI-7700		numeric	!Add units here!			
motor_failure_LI-7700		numeric	!Add units here!			
bad_aux_tc1_LI-7700		numeric	!Add units here!			
bad_aux_tc2_LI-7700		numeric	!Add units here!			
bad_aux_tc3_LI-7700		numeric	!Add units here!			
box_connected_LI-7700		numeric	!Add units here!			
mean_value_RSSI_LI-7200		numeric	!Add units here!			
u_var		numeric	!Add units here!			
v_var		numeric	!Add units here!			
w_var		numeric	!Add units here!			
ts_var		numeric	!Add units here!			
co2_var		numeric	!Add units here!			
h2o_var		numeric	!Add units here!			
ch4_var		numeric	!Add units here!			
w/ts_cov		numeric	!Add units here!			
w/co2_cov		numeric	!Add units here!			
w/h2o_cov		numeric	!Add units here!			
w/ch4_cov		numeric	!Add units here!			
co2_mean		numeric	!Add units here!			
h2o_mean		numeric	!Add units here!			
air_p_mean		numeric	!Add units here!			
vin_sf_mean		numeric	!Add units here!			
co2_mean_1		numeric	!Add units here!			
h2o_mean_1		numeric	!Add units here!			
dew_point_mean		numeric	!Add units here!			
avg_signal_strength_7200_mean		numeric	!Add units here!			
co2_signal_strength_7200_mean		numeric	!Add units here!			
h2o_signal_strength_7200_mean		numeric	!Add units here!			
delta_signal_strength_7200_mean		numeric	!Add units here!			
flowrate_mean_m3s		numeric	!Add units here!			
hit_power_mean		numeric	!Add units here!			
hit_vin_mean		numeric	!Add units here!			
ch4_mean		numeric	!Add units here!			
rssi_77_mean		numeric	!Add units here!			
